rule_name,article_name,article_text
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Глава 13. Алиментные обязательства родителей и детей,
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Раздел V. Алиментные обязательства членов семьи,
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)","Статья 79. Исполнение решений суда по делам, связанным с воспитанием детей","1. Исполнение решений суда по делам, связанным с воспитанием детей, производится судебным исполнителем в порядке, установленном законодательством об исполнительном производстве. (в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции ) Если родитель (другое лицо, на попечении которого находится ребенок) препятствует исполнению судебного решения, к нему применяются меры, предусмотренные  законодательством  об административных правонарушениях и законодательством об исполнительном производстве. (в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции ) 2. Принудительное исполнение решений, связанных с отобранием ребенка и передачей его другому лицу (лицам), должно производиться с обязательным участием органа опеки и попечительства и участием лица (лиц), которому передается ребенок, а в необходимых случаях с участием представителя органов внутренних дел, детского психолога, врача, педагога, переводчика и иных специалистов. (в ред. Федерального  закона  от 05.05.2014 N 126-ФЗ) (см. текст в предыдущей  редакции ) При невозможности исполнения решения суда о передаче ребенка без ущерба его интересам ребенок может быть по определению суда временно помещен в организацию для детей-сирот и детей, оставшихся без попечения родителей ( статья 155.1  настоящего Кодекса). (в ред. Федерального  закона  от 24.04.2008 N 49-ФЗ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)","Статья 78. Участие органа опеки и попечительства при рассмотрении судом споров, связанных с воспитанием детей","1. При рассмотрении судом споров, связанных с воспитанием детей, независимо от того, кем предъявлен иск в защиту ребенка, к участию в деле должен быть привлечен орган опеки и попечительства. 2. Орган опеки и попечительства обязан провести обследование условий жизни ребенка и лица (лиц), претендующего на его воспитание, и представить суду акт обследования и основанное на нем заключение по существу спора."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)","Статья 75. Контакты ребенка с родителем, родительские права которого ограничены судом","(в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции ) Родителю, родительские права которого ограничены судом, могут быть разрешены контакты с ребенком, если это не оказывает на ребенка вредного влияния. Контакты родителя с ребенком допускаются с согласия органа опеки и попечительства либо с согласия другого родителя, не лишенного родительских прав или не ограниченного в родительских правах, опекуна (попечителя), приемных родителей ребенка или администрации организации, в которой находится ребенок."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 77. Отобрание ребенка при непосредственной угрозе жизни ребенка или его здоровью,"1. При непосредственной угрозе жизни ребенка или его здоровью орган опеки и попечительства вправе немедленно отобрать ребенка у родителей (одного из них) или у других лиц, на попечении которых он находится. Немедленное отобрание ребенка производится органом опеки и попечительства на основании соответствующего акта органа исполнительной власти субъекта Российской Федерации либо акта главы муниципального образования в случае, если законом субъекта Российской Федерации органы местного самоуправления наделены полномочиями по опеке и попечительству в соответствии с федеральными  законами . (в ред. Федеральных законов от 29.12.2006  N 258-ФЗ , от 02.07.2013  N 167-ФЗ ) (см. текст в предыдущей  редакции ) 2. При отобрании ребенка орган опеки и попечительства обязан незамедлительно уведомить прокурора, обеспечить временное устройство ребенка и в течение семи дней после вынесения органом исполнительной власти субъекта Российской Федерации либо в случае, если законом субъекта Российской Федерации органы местного самоуправления наделены полномочиями по опеке и попечительству в соответствии с федеральными  законами , главой муниципального образования акта об отобрании ребенка обратиться в суд с иском о лишении родителей родительских прав или об ограничении их родительских прав. (в ред. Федеральных законов от 29.12.2006  N 258-ФЗ , от 02.07.2013  N 167-ФЗ ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 72. Восстановление в родительских правах,"1. Родители (один из них) могут быть восстановлены в родительских правах в случаях, если они изменили поведение, образ жизни и (или) отношение к воспитанию ребенка. 2. Восстановление в родительских правах осуществляется в судебном порядке по заявлению родителя, лишенного родительских прав. Дела о восстановлении в родительских правах рассматриваются с участием органа опеки и попечительства, а также прокурора. 3. Одновременно с заявлением родителей (одного из них) о восстановлении в родительских правах может быть рассмотрено требование о возврате ребенка родителям (одному из них). 4. Суд вправе с учетом мнения ребенка отказать в удовлетворении иска родителей (одного из них) о восстановлении в родительских правах, если восстановление в родительских правах противоречит интересам ребенка. Восстановление в родительских правах в отношении ребенка, достигшего возраста десяти лет, возможно только с его согласия. Не допускается восстановление в родительских правах, если ребенок усыновлен и усыновление не отменено ( статья 140  настоящего Кодекса). 5. В течение трех дней со дня вступления в законную силу решения суда о восстановлении в родительских правах суд направляет выписку из такого решения суда в орган опеки и попечительства по месту вынесения решения и в орган записи актов гражданского состояния по месту государственной регистрации рождения ребенка, а в случае государственной регистрации рождения ребенка многофункциональным центром предоставления государственных и муниципальных услуг - в многофункциональный центр предоставления государственных и муниципальных услуг по месту государственной регистрации рождения ребенка для информирования органа записи актов гражданского состояния, в котором хранится соответствующая запись акта о рождении. (п. 5 введен Федеральным  законом  от 12.11.2012 N 183-ФЗ; в ред. Федеральных законов от 29.12.2017  N 438-ФЗ , от 02.08.2019  N 319-ФЗ ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 70. Порядок лишения родительских прав,"1. Лишение родительских прав производится в судебном порядке. Дела о лишении родительских прав рассматриваются по заявлению одного из родителей или лиц, их заменяющих, заявлению прокурора, а также по заявлениям органов или организаций, на которые возложены обязанности по охране прав несовершеннолетних детей (органов опеки и попечительства, комиссий по делам несовершеннолетних, организаций для детей-сирот и детей, оставшихся без попечения родителей, и других). (в ред. Федерального  закона  от 24.04.2008 N 49-ФЗ) (см. текст в предыдущей  редакции ) 2. Дела о лишении родительских прав рассматриваются с участием прокурора и органа опеки и попечительства. 3. При рассмотрении дела о лишении родительских прав суд решает вопрос о взыскании алиментов на ребенка с родителей (одного из них), лишенных родительских прав. 4. Если суд при рассмотрении дела о лишении родительских прав обнаружит в действиях родителей (одного из них) признаки уголовно наказуемого деяния, он обязан уведомить об этом прокурора. 5. Суд обязан в течение трех дней со дня вступления в законную силу решения суда о лишении родительских прав направить выписку из этого решения суда в орган опеки и попечительства по месту вынесения решения и в орган записи актов гражданского состояния по месту государственной регистрации рождения ребенка, а в случае государственной регистрации рождения ребенка многофункциональным центром предоставления государственных и муниципальных услуг - в многофункциональный центр предоставления государственных и муниципальных услуг по месту государственной регистрации рождения ребенка для информирования органа записи актов гражданского состояния, в котором хранится соответствующая запись акта о рождении. (в ред. Федеральных законов от 29.12.2017  N 438-ФЗ , от 02.08.2019  N 319-ФЗ ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 74. Последствия ограничения родительских прав,"1. Родители, родительские права которых ограничены судом, утрачивают право на личное воспитание ребенка, а также право на льготы и государственные пособия, установленные для граждан, имеющих детей. 2. Ограничение родительских прав не освобождает родителей от обязанности по содержанию ребенка. 3. Ребенок, в отношении которого родители (один из них) ограничены в родительских правах, сохраняет право собственности на жилое помещение или право пользования жилым помещением, а также сохраняет имущественные права, основанные на факте родства с родителями и другими родственниками, в том числе право на получение наследства. 4. В случае ограничения родительских прав обоих родителей ребенок передается на попечение органа опеки и попечительства."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 71. Последствия лишения родительских прав,"1. Родители, лишенные родительских прав, теряют все права, основанные на факте родства с ребенком, в отношении которого они были лишены родительских прав, в том числе право на получение от него содержания ( статья 87  настоящего Кодекса), а также право на льготы и государственные пособия, установленные для граждан, имеющих детей. 2. Лишение родительских прав не освобождает родителей от обязанности содержать своего ребенка. 3. Вопрос о дальнейшем совместном проживании ребенка и родителей (одного из них), лишенных родительских прав, решается судом в порядке, установленном жилищным  законодательством . 4. Ребенок, в отношении которого родители (один из них) лишены родительских прав, сохраняет право собственности на жилое помещение или право пользования жилым помещением, а также сохраняет имущественные права, основанные на факте родства с родителями и другими родственниками, в том числе право на получение наследства. 5. При невозможности передать ребенка другому родителю или в случае лишения родительских прав обоих родителей ребенок передается на попечение органа опеки и попечительства. 6. Усыновление ребенка в случае лишения родителей (одного из них) родительских прав допускается не ранее истечения шести месяцев со дня вынесения решения суда о лишении родителей (одного из них) родительских прав."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 73. Ограничение родительских прав,"1. Суд может с учетом интересов ребенка принять решение об отобрании ребенка у родителей (одного из них) без лишения их родительских прав (ограничении родительских прав). 2. Ограничение родительских прав допускается, если оставление ребенка с родителями (одним из них) опасно для ребенка по обстоятельствам, от родителей (одного из них) не зависящим (психическое расстройство или иное хроническое заболевание, стечение тяжелых обстоятельств и другие). Ограничение родительских прав допускается также в случаях, если оставление ребенка с родителями (одним из них) вследствие их поведения является опасным для ребенка, но не установлены достаточные основания для лишения родителей (одного из них) родительских прав. Если родители (один из них) не изменят своего поведения, орган опеки и попечительства по истечении шести месяцев после вынесения судом решения об ограничении родительских прав обязан предъявить иск о лишении родительских прав. В интересах ребенка орган опеки и попечительства вправе предъявить иск о лишении родителей (одного из них) родительских прав до истечения этого срока. 3. Иск об ограничении родительских прав может быть предъявлен близкими родственниками ребенка, органами и организациями, на которые законом возложены обязанности по охране прав несовершеннолетних детей ( пункт 1 статьи 70  настоящего Кодекса), дошкольными образовательными организациями, общеобразовательными организациями и другими организациями, а также прокурором. (в ред. Федеральных законов от 24.04.2008  N 49-ФЗ , от 02.07.2013  N 185-ФЗ ) (см. текст в предыдущей  редакции ) 4. Дела об ограничении родительских прав рассматриваются с участием прокурора и органа опеки и попечительства. 5. При рассмотрении дела об ограничении родительских прав суд решает вопрос о взыскании алиментов на ребенка с родителей (одного из них). 6. Суд обязан в течение трех дней со дня вступления в законную силу решения суда об ограничении родительских прав направить выписку из такого решения суда в орган опеки и попечительства по месту вынесения решения и в орган записи актов гражданского состояния по месту государственной регистрации рождения ребенка, а в случае государственной регистрации рождения ребенка многофункциональным центром предоставления государственных и муниципальных услуг - в многофункциональный центр предоставления государственных и муниципальных услуг по месту государственной регистрации рождения ребенка для информирования органа записи актов гражданского состояния, в котором хранится соответствующая запись акта о рождении. (п. 6 введен Федеральным  законом  от 15.11.1997 N 140-ФЗ; в ред. Федеральных законов от 29.12.2017  N 438-ФЗ , от 02.08.2019  N 319-ФЗ ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 76. Отмена ограничения родительских прав,"1. Если основания, в силу которых родители (один из них) были ограничены в родительских правах, отпали, суд по иску родителей (одного из них) может вынести решение о возвращении ребенка родителям (одному из них) и об отмене ограничений, предусмотренных  статьей 74  настоящего Кодекса. 2. Суд с учетом мнения ребенка вправе отказать в удовлетворении иска, если возвращение ребенка родителям (одному из них) противоречит его интересам. 3. В течение трех дней со дня вступления в законную силу решения суда об отмене ограничения родительских прав суд направляет выписку из такого решения суда в орган опеки и попечительства по месту вынесения решения и в орган записи актов гражданского состояния по месту государственной регистрации рождения ребенка. (п. 3 введен Федеральным  законом  от 12.11.2012 N 183-ФЗ; в ред. Федерального  закона  от 02.08.2019 N 319-ФЗ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 68. Защита родительских прав,"1. Родители вправе требовать возврата ребенка от любого лица, удерживающего его у себя не на основании закона или не на основании судебного решения. В случае возникновения спора родители вправе обратиться в суд за защитой своих прав. При рассмотрении этих требований суд вправе с учетом мнения ребенка отказать в удовлетворении иска родителей, если придет к выводу, что передача ребенка родителям не отвечает интересам ребенка. 2. Если судом установлено, что ни родители, ни лицо, у которого находится ребенок, не в состоянии обеспечить его надлежащее воспитание и развитие, суд передает ребенка на попечение органа опеки и попечительства."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 69. Лишение родительских прав,"Родители (один из них) могут быть лишены родительских прав, если они: уклоняются  от выполнения обязанностей родителей, в том числе при  злостном  уклонении от уплаты алиментов; отказываются  без уважительных причин взять своего ребенка из родильного дома (отделения) либо из иной медицинской организации, образовательной организации, организации социального обслуживания или из аналогичных организаций; (в ред. Федеральных законов от 24.04.2008  N 49-ФЗ , от 25.11.2013  N 317-ФЗ , от 28.11.2015  N 358-ФЗ , от 28.03.2017  N 39-ФЗ ) (см. текст в предыдущей  редакции ) злоупотребляют  своими родительскими правами; жестоко  обращаются с детьми, в том числе осуществляют физическое или психическое насилие над ними, покушаются на их половую неприкосновенность; являются  больными  хроническим алкоголизмом или наркоманией; совершили  умышленное преступление против жизни или здоровья своих детей, другого родителя детей, супруга, в том числе не являющегося родителем детей, либо против жизни или здоровья иного члена семьи. (в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)","Статья 67. Право на общение с ребенком дедушки, бабушки, братьев, сестер и других родственников","1. Дедушка, бабушка, братья, сестры и другие родственники имеют право на общение с ребенком. 2. В случае отказа родителей (одного из них) от предоставления близким родственникам ребенка возможности общаться с ним орган опеки и попечительства может обязать родителей (одного из них) не препятствовать этому общению. 3. Если родители (один из них) не подчиняются решению органа опеки и попечительства, близкие родственники ребенка либо орган опеки и попечительства вправе обратиться в суд с иском об устранении препятствий к общению с ребенком. Суд разрешает спор исходя из интересов ребенка и с учетом мнения ребенка. В случае невыполнения решения суда к виновному родителю применяются меры, предусмотренные  законодательством  об административных правонарушениях и законодательством об исполнительном производстве. (в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 64. Права и обязанности родителей по защите прав и интересов детей,"Перспективы и риски споров в суде общей юрисдикции. Ситуации, связанные со ст. 64 СК РФ -  Законный представитель хочет взыскать денежные средства, не выданные банком со вклада на имя несовершеннолетнего без разрешения органов опеки 1. Защита прав и интересов детей возлагается на их родителей. Родители являются законными представителями своих детей и выступают в защиту их прав и интересов в отношениях с любыми физическими и юридическими лицами, в том числе в судах, без специальных полномочий. 2. Родители не вправе представлять интересы своих детей, если органом опеки и попечительства установлено, что между интересами родителей и детей имеются противоречия. В случае разногласий между родителями и детьми орган опеки и попечительства обязан назначить представителя для защиты прав и интересов детей."
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 63. Права и обязанности родителей по воспитанию и образованию детей,"1. Родители имеют право и обязаны воспитывать своих детей. Родители несут ответственность за воспитание и развитие своих детей. Они обязаны заботиться о здоровье, физическом, психическом, духовном и нравственном развитии своих детей. Родители имеют преимущественное право на обучение и воспитание своих детей перед всеми другими лицами. (в ред. Федерального  закона  от 02.07.2013 N 185-ФЗ) (см. текст в предыдущей  редакции ) 2. Родители обязаны обеспечить получение детьми общего образования. Родители имеют право выбора образовательной организации,  формы  получения детьми образования и  формы  их обучения с учетом мнения детей до получения ими основного общего образования. (п. 2 в ред. Федерального  закона  от 02.07.2013 N 185-ФЗ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 65. Осуществление родительских прав,"1. Родительские права не могут осуществляться в противоречии с интересами детей. Обеспечение интересов детей должно быть предметом основной заботы их родителей. При осуществлении родительских прав родители не вправе причинять вред физическому и психическому здоровью детей, их нравственному развитию. Способы воспитания детей должны исключать пренебрежительное, жестокое, грубое, унижающее человеческое достоинство обращение, оскорбление или эксплуатацию детей. Родители, осуществляющие родительские права в ущерб правам и интересам детей, несут ответственность в установленном  законом  порядке. 2. Все вопросы, касающиеся воспитания и образования детей, решаются родителями по их взаимному согласию исходя из интересов детей и с учетом мнения детей. Родители (один из них) при наличии разногласий между ними вправе обратиться за разрешением этих разногласий в орган опеки и попечительства или в суд. 3. Место жительства детей при раздельном проживании родителей устанавливается соглашением родителей. При отсутствии соглашения спор между родителями разрешается судом исходя из интересов детей и с учетом мнения детей. При этом суд учитывает привязанность ребенка к каждому из родителей, братьям и сестрам, возраст ребенка, нравственные и иные личные качества родителей, отношения, существующие между каждым из родителей и ребенком, возможность создания ребенку условий для воспитания и развития (род деятельности, режим работы родителей, материальное и семейное положение родителей и другое). По требованию родителей (одного из них) в порядке, установленном гражданским процессуальным  законодательством , и с учетом требований  абзаца второго  настоящего пункта суд с обязательным участием органа опеки и попечительства вправе определить место жительства детей на период до вступления в законную силу судебного решения об определении их места жительства. (абзац введен Федеральным  законом  от 04.05.2011 N 98-ФЗ) 4. При осуществлении родительских прав родители (лица, их заменяющие) имеют право на оказание им содействия в предоставлении семье медицинской, психологической, педагогической, юридической, социальной помощи. Условия и порядок оказания содействия в предоставлении указанной помощи определяются  законодательством  Российской Федерации о социальном обслуживании. (п. 4 введен Федеральным  законом  от 02.07.2013 N 167-ФЗ)"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)","Статья 66. Осуществление родительских прав родителем, проживающим отдельно от ребенка","1. Родитель, проживающий отдельно от ребенка, имеет права на общение с ребенком, участие в его воспитании и решении вопросов получения ребенком образования. Родитель, с которым проживает ребенок, не должен препятствовать общению ребенка с другим родителем, если такое общение не причиняет вред физическому и психическому здоровью ребенка, его нравственному развитию. 2. Родители вправе заключить в письменной форме соглашение о порядке осуществления родительских прав родителем, проживающим отдельно от ребенка. Если родители не могут прийти к соглашению, спор разрешается судом с участием органа опеки и попечительства по требованию родителей (одного из них). По требованию родителей (одного из них) в порядке, установленном гражданским процессуальным  законодательством , суд с обязательным участием органа опеки и попечительства вправе определить порядок осуществления родительских прав на период до вступления в законную силу судебного решения. (в ред. Федерального  закона  от 04.05.2011 N 98-ФЗ) (см. текст в предыдущей  редакции ) 3. При невыполнении решения суда к виновному родителю применяются меры, предусмотренные  законодательством  об административных правонарушениях и законодательством об исполнительном производстве. При злостном невыполнении решения суда суд по требованию родителя, проживающего отдельно от ребенка, может вынести решение о передаче ему ребенка исходя из интересов ребенка и с учетом мнения ребенка. (в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции ) 4. Родитель, проживающий отдельно от ребенка, имеет право на получение информации о своем ребенке из образовательных организаций, медицинских организаций, организаций социального обслуживания и аналогичных организаций. В предоставлении информации может быть отказано только в случае наличия угрозы для жизни и здоровья ребенка со стороны родителя. Отказ в предоставлении информации может быть оспорен в судебном порядке. (в ред. Федеральных законов от 24.04.2008  N 49-ФЗ , от 25.11.2013  N 317-ФЗ , от 28.11.2015  N 358-ФЗ , от 28.03.2017  N 39-ФЗ ) (см. текст в предыдущей  редакции )"
"(ред. от 31.07.2023) (с изм. и доп., вступ. в силу с 26.10.2023)",Статья 62. Права несовершеннолетних родителей,"1. Несовершеннолетние родители имеют права на совместное проживание с ребенком и участие в его воспитании. 2. Несовершеннолетние родители, не состоящие в браке, в случае рождения у них ребенка и при установлении их материнства и (или) отцовства вправе самостоятельно осуществлять родительские права по достижении ими возраста шестнадцати лет. До достижения несовершеннолетними родителями возраста шестнадцати лет их ребенку назначается опекун, который осуществляет его воспитание совместно с несовершеннолетними родителями ребенка. Разногласия, возникающие между опекуном ребенка и несовершеннолетними родителями, разрешаются органом опеки и попечительства. (п. 2 в ред. Федерального  закона  от 30.12.2015 N 457-ФЗ) (см. текст в предыдущей  редакции ) 3. Несовершеннолетние родители имеют права признавать и оспаривать свое отцовство и материнство на общих основаниях, а также имеют право требовать по достижении ими возраста четырнадцати лет установления отцовства в отношении своих детей в судебном порядке."
